Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integration,,,,2022-09-18 18:08:11,2022-09-18 18:08:23,12.034s,PASSED
,,,,,,,
Test Cases/ApiTests/getInstances,,,,2022-09-18 18:08:12,2022-09-18 18:08:23,11.080s,PASSED
"response = sendRequest(findTestObject(""rest_objects/instances""))",,,,2022-09-18 18:08:14,2022-09-18 18:08:23,9.061s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-09-18 18:08:23,2022-09-18 18:08:23,0.049s,PASSED
"instance_count = getElementPropertyValue(response, ""count"")",,,,2022-09-18 18:08:23,2022-09-18 18:08:23,0.229s,PASSED
assert instance_count > 1,,,,2022-09-18 18:08:23,2022-09-18 18:08:23,0.003s,PASSED
